t,ax,ay,az,wx,wy,wz,dt,vx,vy,vz,x,y,z
0.002,-2.191144,-2.517166,5.100793,9548,14884,-5324,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
0.034,-2.278562,-0.597258,5.655839,5132,6476,-13632,0.032,-0.072913984,-0.019112255999999998,0.180986848,-0.002333247488,-0.000611592192,0.005791579136
0.126,-0.73108,-5.636379,1.973197,7400,3380,-9772,0.092,-0.14017334399999998,-0.5376591239999999,0.362520972,-0.015229195135999997,-0.05007623159999999,0.03914350856
0.217,2.991978,-5.729187,1.295406,11040,6228,-15132,0.091,0.13209665400000004,-1.0590151409999997,0.480402918,-0.003208399621999994,-0.14644660943099996,0.082860174098
0.309,1.047222,-0.7215,0.287103,10296,8776,-18032,0.092,0.22844107800000005,-1.1253931409999998,0.506816394,0.01780817955400001,-0.24998277840299993,0.12948728234600002
0.4,-2.609075,3.338358,0.048499,8196,8040,-16996,0.09100000000000003,-0.008984747000000015,-0.8216025629999997,0.511229803,0.01699056757700001,-0.32474861163599994,0.17600919441900004
0.49,-3.72186,3.673062,-1.831591,6792,6720,-13920,0.08999999999999997,-0.3439521469999999,-0.4910269829999998,0.34638661300000007,-0.013965125652999968,-0.36894104010599993,0.20718398958900003
0.58,-1.678909,1.946552,-1.92859,7708,8228,-10020,0.08999999999999997,-0.4950539569999998,-0.3158373029999999,0.1728135130000001,-0.058519981782999934,-0.39736639737599994,0.22273720575900002
0.67,-0.163759,1.223556,-1.407074,7636,11832,-7780,0.09000000000000008,-0.5097922669999998,-0.20571726299999982,0.04617685300000002,-0.10440128581299996,-0.4158809510459999,0.22689312252900004
0.762,0.56732,0.526605,-0.941842,7124,13572,-8960,0.09199999999999997,-0.4575988269999998,-0.15726960299999984,-0.04047261099999995,-0.14650037789699993,-0.4303497545219999,0.22316964231700004
0.852,0.011975,-0.627795,-0.676593,7476,13972,-9292,0.08999999999999997,-0.45652107699999983,-0.21377115299999983,-0.10136598099999994,-0.1875872748269999,-0.4495891582919999,0.21404670402700005
0.945,-1.828598,-0.270937,-0.531096,7456,12100,-9536,0.09299999999999997,-0.6265806909999998,-0.2389682939999998,-0.1507579089999999,-0.24585927908999988,-0.47181320963399986,0.20002621849000005
1.039,-0.344883,0.650547,0.300276,6792,10484,-7268,0.09399999999999997,-0.6589996929999998,-0.17781687599999982,-0.12253196499999992,-0.30780525023199984,-0.48852799597799984,0.18850821378000004
1.13,1.193318,-1.310076,-0.402363,6932,11468,-9988,0.09099999999999997,-0.5504077549999998,-0.2970337919999998,-0.15914699799999993,-0.3578923559369998,-0.5155580710499998,0.17402583696200005
1.222,0.141606,-0.757724,0.088616,7880,13792,-11280,0.09200000000000008,-0.5373800029999998,-0.36674439999999986,-0.15099432599999993,-0.40733131621299984,-0.5492985558499999,0.16013435897000006
1.314,-1.815125,-0.386796,0.123643,7796,12056,-11128,0.09200000000000008,-0.704371503,-0.4023296319999999,-0.13961916999999993,-0.4721334944889999,-0.5863128819939999,0.14728939533000004
