t,ax,ay,az,wx,wy,wz
0.002,-2.191144,-2.517166,5.100793,9548,14884,-5324
0.034,-2.278562,-0.597258,5.655839,5132,6476,-13632
0.126,-0.73108,-5.636379,1.973197,7400,3380,-9772
0.217,2.991978,-5.729187,1.295406,11040,6228,-15132
0.309,1.047222,-0.7215,0.287103,10296,8776,-18032
0.4,-2.609075,3.338358,0.048499,8196,8040,-16996
0.49,-3.72186,3.673062,-1.831591,6792,6720,-13920
0.58,-1.678909,1.946552,-1.92859,7708,8228,-10020
0.67,-0.163759,1.223556,-1.407074,7636,11832,-7780
0.762,0.56732,0.526605,-0.941842,7124,13572,-8960
0.852,0.011975,-0.627795,-0.676593,7476,13972,-9292
0.945,-1.828598,-0.270937,-0.531096,7456,12100,-9536
1.039,-0.344883,0.650547,0.300276,6792,10484,-7268
1.13,1.193318,-1.310076,-0.402363,6932,11468,-9988
1.222,0.141606,-0.757724,0.088616,7880,13792,-11280
1.314,-1.815125,-0.386796,0.123643,7796,12056,-11128
1.407,-0.970582,1.045426,-0.188009,7348,10824,-8696
1.5,1.040636,0.683179,-0.628992,7008,12696,-8104
1.589,0.289199,-0.200284,-0.538879,6940,14000,-10216
1.684,-1.257685,0.002694,0.031435,6820,13024,-8776
1.775,-4.629872,-3.501519,-8.974438,8836,8880,-9036
1.867,1.774111,5.862709,3.215314,5768,12696,-9512
1.958,-0.636776,-2.426454,-1.985172,8236,7172,-9084
2.05,-1.816622,-1.322051,-3.479365,7296,15416,-7764
2.143,-0.189207,-0.003892,-0.184716,1728,13164,-14612
2.238,-0.98585,3.92424,2.868934,2748,11908,-6064
2.327,-1.397793,2.491719,1.302891,6336,14580,-7896
2.419,0.02395,-0.050894,-0.195194,6660,13376,-5556
2.51,0.224533,-0.716111,0.119152,6760,14056,-7024
2.6,-1.037343,0.989442,0.651745,8196,15880,-8396
2.69,-2.131567,2.434837,0.879272,7936,13664,-5484
2.78,-0.838856,-0.465532,-1.032852,6484,13816,-3468
2.872,-1.359174,0.12035,-0.385598,8456,15816,-3592
2.965,-0.427511,0.895737,0.048499,8256,13928,-3084
3.056,2.324067,1.214275,0.301174,8292,14804,-2936
3.147,0.250579,-0.289199,-2.537823,7464,13440,-3664
3.239,1.485511,1.182541,-0.136816,6864,17804,-3740
3.33,1.040337,-1.734593,-1.568439,7996,16912,-6176
3.422,-1.43312,0.488883,-0.773591,5120,10300,-4712
3.514,-0.246388,0.804727,0.315544,7640,16548,-5612
3.605,-0.021555,0.519121,0.007784,6672,13328,-4884
3.697,0.63977,1.13015,0.543969,7448,15000,-5444
3.785,0.417632,0.459245,-0.55804,7896,13172,-5388
3.876,-0.467328,-0.068258,-1.730102,7612,13344,-5040
3.969,0.33171,-0.181123,-2.326761,5832,11208,-3932
4.06,-0.593067,0.981359,-2.701283,5084,12268,-3068
4.152,2.084266,4.127517,0.917293,4300,21716,-10980
4.244,-9.81,9.809701,8.048763,1868,32767,-32768
4.332,-9.81,9.809701,9.32441,-31548,-32768,9080
4.421,-0.215252,-0.078736,-0.400866,-864,6392,15364
4.513,8.215816,-4.343967,-1.680406,-512,5228,13196
4.605,-2.83271,1.845063,0.873883,632,1164,15384
4.693,-0.855022,-0.499661,-0.529299,1880,2164,15308
4.785,-0.208367,-0.753533,-0.532293,748,-2716,16424
4.879,-1.786984,0.473316,-0.241298,1880,3788,15456
4.97,0.333507,-0.439486,-0.288001,248,1584,15916
5.059,0.120948,-0.142803,-0.130229,420,1648,15508
5.15,0.508044,-0.895438,-0.40895,-164,244,16260
5.238,0.928669,-1.367856,-1.082848,2040,2492,15256
5.329,9.408535,-5.401368,-2.135759,-5768,-17016,13640
5.424,9.809701,-8.939112,-2.01002,6384,19564,-11080
5.516,1.925296,-1.211581,-0.406854,11644,28408,-9608
5.611,4.398753,-2.80367,-1.737886,4960,11492,-4436
5.702,-2.666854,1.037043,-0.249381,6852,19768,-7548
5.794,0.005089,-0.37512,-0.439187,3484,12476,-3296
5.886,-1.21667,0.601749,0.149689,4832,15964,-4512
