ax,ay,az,gx,gy,gz,time
-0.083984,-0.072266,-1.013184,-7.080078,-2.258301,-2.624512,0.002044
-0.07959,-0.069824,-1.009766,-7.93457,-2.990723,-2.624512,0.005294
-0.069336,-0.077148,-1.021484,-9.277344,-4.943848,-0.793457,0.018674
-0.072266,-0.074219,-1.03418,-9.58252,-4.821777,-0.244141,0.021819
-0.088379,-0.08252,-1.055664,-10.25391,-3.967285,-0.061035,0.035171
-0.087402,-0.084473,-1.061035,-8.361816,-4.211426,-0.244141,0.048537
-0.087402,-0.084961,-1.063965,-7.873535,-3.723145,-0.427246,0.051682
-0.083008,-0.071289,-1.076172,-5.432129,-2.319336,0.0,0.064994
-0.083008,-0.077637,-1.070801,-4.699707,-2.502441,0.366211,0.068113
-0.089355,-0.079102,-1.066895,-2.13623,-3.479004,0.488281,0.081438
-0.094727,-0.072754,-1.057617,-1.586914,-3.295898,0.915527,0.094802
-0.103516,-0.075684,-1.060059,-1.342773,-3.051758,0.671387,0.097935
-0.10498,-0.068848,-1.056152,-0.854492,-1.342773,-0.12207,0.111247
-0.10498,-0.067383,-1.048828,-0.366211,-1.586914,-0.12207,0.114404
-0.094727,-0.059082,-1.040527,0.732422,-2.807617,-0.549316,0.127785
-0.085938,-0.056641,-1.027832,0.732422,-2.197266,-0.061035,0.141157
-0.083496,-0.052734,-1.022949,0.671387,-2.502441,0.244141,0.144294
-0.085449,-0.055176,-1.007813,-0.183105,-3.723145,0.854492,0.157612
-0.100098,-0.060547,-1.01123,-1.342773,-3.601074,1.708984,0.170982
-0.106445,-0.060547,-1.01416,-1.647949,-3.417969,1.464844,0.17412
-0.116699,-0.058105,-1.005859,-3.112793,-2.746582,0.305176,0.187482
-0.114746,-0.052734,-1.013184,-3.479004,-2.746582,0.244141,0.190612
-0.119141,-0.057617,-1.027832,-4.211426,-2.624512,-0.976563,0.203926
-0.10498,-0.067871,-1.056152,-2.990723,-1.708984,-2.380371,0.217245
-0.099121,-0.05957,-1.05127,-2.868652,-0.793457,-2.746582,0.220399
-0.087891,-0.055664,-1.034668,-1.159668,0.183105,-2.13623,0.233769
-0.086914,-0.060059,-1.038574,-0.915527,-0.366211,-1.647949,0.236901
-0.092285,-0.062988,-1.025391,-0.671387,-2.13623,-1.098633,0.250216
-0.103516,-0.066895,-1.015625,-2.380371,-2.319336,-1.037598,0.263627
-0.100586,-0.067871,-1.019531,-2.624512,-2.746582,-1.098633,0.266773
-0.09082,-0.071289,-1.019531,-4.455566,-3.78418,-1.220703,0.28017
-0.072754,-0.072266,-1.03125,-5.065918,-3.417969,-0.793457,0.293537
-0.068848,-0.074219,-1.032715,-5.065918,-2.868652,-0.793457,0.296682
-0.070313,-0.068848,-1.024902,-4.638672,-2.380371,0.183105,0.309993
-0.071289,-0.073242,-1.027344,-4.394531,-2.380371,0.427246,0.313128
-0.094238,-0.078613,-1.034668,-5.065918,-2.868652,0.976563,0.326474
-0.098633,-0.086914,-1.042969,-5.004883,-2.685547,-0.12207,0.339815
-0.097656,-0.088379,-1.041992,-4.638672,-2.624512,-0.183105,0.342961
-0.085449,-0.086914,-1.045898,-3.479004,0.061035,-0.915527,0.356374
-0.079102,-0.07959,-1.050781,-3.234863,0.305176,-1.037598,0.359506
-0.066895,-0.076172,-1.036133,-2.807617,-0.610352,-0.305176,0.372818
-0.071777,-0.07666,-1.038086,-2.502441,-1.77002,0.915527,0.386154
-0.068359,-0.078613,-1.038086,-2.563477,-1.831055,1.403809,0.389286
-0.085449,-0.080566,-1.038086,-2.807617,-2.868652,2.197266,0.402664
-0.096191,-0.078613,-1.049805,-1.708984,-1.77002,1.89209,0.41603
-0.101074,-0.07959,-1.042969,-1.77002,-1.586914,1.281738,0.41917
-0.104492,-0.075684,-1.037598,-0.305176,-1.159668,0.183105,0.432506
-0.100098,-0.070313,-1.041016,0.183105,-0.854492,-0.244141,0.435622
-0.093262,-0.063965,-1.037109,0.976563,1.464844,-0.793457,0.448975
-0.095215,-0.058594,-1.005371,-0.488281,0.671387,-1.220703,0.46228
-0.089355,-0.061523,-1.004883,-0.976563,0.305176,-1.159668,0.465429
-0.089844,-0.062012,-1.015625,-3.845215,0.183105,-0.915527,0.478793
-0.09082,-0.057129,-1.014648,-4.516602,0.183105,-0.793457,0.481926
-0.093262,-0.058105,-1.027832,-6.04248,-2.441406,-0.061035,0.49522
-0.092773,-0.062012,-1.057617,-5.004883,-2.13623,-0.427246,0.508571
-0.089844,-0.062012,-1.056641,-5.004883,-1.586914,-0.244141,0.511717
-0.09082,-0.059082,-1.055176,-3.112793,0.244141,-0.976563,0.525097
-0.09668,-0.0625,-1.053223,-2.746582,0.366211,-1.281738,0.528218
-0.084473,-0.060547,-1.037598,-2.807617,0.793457,-1.647949,0.541562
-0.076172,-0.067871,-1.020508,-3.845215,-0.061035,-1.281738,0.554929
-0.078613,-0.06543,-1.021484,-3.90625,-0.549316,-1.159668,0.558088
-0.080566,-0.071777,-1.034668,-4.516602,-2.075195,-1.098633,0.571499
-0.077148,-0.070313,-1.035156,-4.394531,-2.01416,-1.342773,0.574646
-0.07666,-0.07666,-1.029785,-4.760742,-1.77002,-1.281738,0.588033
-0.075195,-0.077637,-1.036133,-4.821777,-1.647949,-1.159668,0.601388
-0.070801,-0.073242,-1.037109,-4.882813,-1.647949,-1.403809,0.604544
-0.07666,-0.069824,-1.036621,-4.516602,-1.77002,-1.037598,0.617924
-0.086426,-0.071777,-1.038574,-4.699707,-2.075195,-0.732422,0.631303
-0.083008,-0.067383,-1.04541,-5.004883,-2.197266,-0.427246,0.634471
-0.089844,-0.071777,-1.043945,-5.432129,-1.831055,-0.244141,0.647835
-0.092285,-0.074219,-1.046387,-5.615234,-1.77002,-0.366211,0.650985
-0.089844,-0.07666,-1.056152,-5.310059,-1.586914,-0.732422,0.66433
-0.07959,-0.073242,-1.047852,-4.638672,-0.305176,-0.854492,0.677676
