t,ax,ay,az,dt,vx,vy,vz,x,y,z
0.002,-61.73534,-51.24376,19.57513,0.0,-0.0,-0.0,0.0,-0.0,-0.0,0.0
0.101,-89.51757,-38.31065,12.15057,0.099,-8.86223943,-3.7927543500000005,1.20290643,-0.8773617035700001,-0.37548268065000007,0.11908773657000002
0.201,-76.58447,-60.10533,-3.417053,0.1,-16.52068643,-9.803287350000002,0.86120113,-2.5294303465700003,-1.3558114156500003,0.20520784957000002
0.301,-58.62182,-42.14268,4.965515,0.09999999999999998,-22.382868430000002,-14.01755535,1.3577526299999998,-4.76771718957,-2.7575669506500002,0.34098311256999997
0.401,-52.15527,-32.0836,13.82709,0.10000000000000003,-27.598395430000004,-17.22591535,2.7404616300000004,-7.527556732570002,-4.480158485650001,0.6150292755700001
0.501,-3.536362,-50.28575,-19.94269,0.09999999999999998,-27.952031630000004,-22.25449035,0.746192630000001,-10.322759895570002,-6.705607520650001,0.6896485385700002
0.601,-37.30614,-16.27646,6.402527,0.09999999999999998,-31.682645630000003,-23.88213635,1.3864453300000008,-13.491024458570001,-9.093821155650001,0.8282930715700002
0.701,-66.28588,-19.15048,5.684021,0.09999999999999998,-38.311233630000004,-25.79718435,1.9548474300000007,-17.32214782157,-11.673539590650002,1.0237778145700003
0.801,-59.34032,-22.50351,0.414978,0.10000000000000009,-44.245265630000006,-28.04753535,1.9963452300000009,-21.746674384570003,-14.478293125650005,1.2234123375700006
0.901,-73.94994,-33.52061,18.37762,0.09999999999999998,-51.64025963,-31.39959635,3.8341072300000008,-26.910700347570003,-17.618252760650005,1.6068230605700005
1.001,-61.25634,-25.85655,-0.303528,0.09999999999999987,-57.765893629999994,-33.98525135,3.8037544300000006,-32.68728971056999,-21.01677789565,1.98719850357
1.101,-52.63427,-35.91563,-4.614563,0.10000000000000009,-63.02932063,-37.57681435,3.34229813,-38.99022177357,-24.774459330650004,2.3214283165700005
1.201,-60.29833,-51.48326,-2.219543,0.10000000000000009,-69.05915363000001,-42.725140350000004,3.12034383,-45.896137136570005,-29.046973365650008,2.633462699570001
1.301,-123.7664,-32.56261,11.91107,0.09999999999999987,-81.43579362999999,-45.98140135,4.311450829999998,-54.03971649956999,-33.64511350065,3.06460778257
1.401,-35.86913,-12.68393,-4.854065,0.10000000000000009,-85.02270663,-47.24979435,3.826044329999998,-62.541987162569995,-38.37009293565,3.44721221557
1.501,-47.84423,-14.83945,-5.572571,0.09999999999999987,-89.80712962999999,-48.73373935,3.2687872299999987,-71.52270012556998,-43.243466870649996,3.7740909385699997
1.601,-61.49584,-56.7523,-0.54303,0.10000000000000009,-95.95671363,-54.40896935000001,3.2144842299999987,-81.11837148856999,-48.68436380565,4.09553936157
1.701,-93.82861,-6.217377,22.44916,0.10000000000000009,-105.33957463,-55.030707050000004,5.45940023,-91.65232895157,-54.18743451065001,4.641479384570001
1.801,-41.85668,-6.935883,17.41962,0.09999999999999987,-109.52524263,-55.724295350000006,7.201362229999997,-102.60485321456999,-59.75986404565,5.36161560757
1.902,-86.16454,-15.55795,25.32318,0.10099999999999998,-118.22786117,-57.2956483,9.759003409999996,-114.54586719273998,-65.54672452394999,6.347274951979999
