time,s2,s3,s1
58.98,"{'ax': 7611, 'ay': 472, 'wz': 11764, 'az': 8695, 'wx': -7204, 'wy': -4116}","{'ax': 7663, 'ay': 503, 'wz': 11772, 'az': 8799, 'wx': -7188, 'wy': -452}","{'ax': 11890, 'ay': 12226, 'wz': 11538, 'az': 12515, 'wx': 10706, 'wy': 11154}"
59.0,"{'ax': 5335, 'ay': 1503, 'wz': 12156, 'az': 10703, 'wx': -8212, 'wy': -3448}","{'ax': 5351, 'ay': 1358, 'wz': 11960, 'az': 11247, 'wx': -9348, 'wy': -3444}","{'ax': 11906, 'ay': 12210, 'wz': 11538, 'az': 12467, 'wx': 10434, 'wy': 11138}"
59.02,"{'ax': 7646, 'ay': 2458, 'wz': 12284, 'az': 11199, 'wx': -10420, 'wy': -2084}","{'ax': 7633, 'ay': 2494, 'wz': 12252, 'az': 11177, 'wx': -10468, 'wy': -2060}","{'ax': 11874, 'ay': 12178, 'wz': 11522, 'az': 12483, 'wx': 10594, 'wy': 11106}"
59.04,"{'ax': 1531, 'ay': 1021, 'wz': 11772, 'az': -17, 'wx': -2088, 'wy': -9444}","{'ax': 2042, 'ay': 1007, 'wz': 12216, 'az': -65, 'wx': -164, 'wy': -10120}","{'ax': 12018, 'ay': 12291, 'wz': 11650, 'az': 12563, 'wx': 10594, 'wy': 11042}"
59.06,"{'ax': 10219, 'ay': 958, 'wz': 12796, 'az': 10223, 'wx': -2372, 'wy': 8172}","{'ax': 9966, 'ay': 1007, 'wz': 13308, 'az': 8943, 'wx': -4432, 'wy': 4716}","{'ax': 12050, 'ay': 12339, 'wz': 11682, 'az': 12579, 'wx': 10626, 'wy': 11058}"
59.08,"{'ax': 13694, 'ay': -5905, 'wz': 16380, 'az': -6147, 'wx': -12420, 'wy': -36}","{'ax': 14135, 'ay': -5661, 'wz': 15868, 'az': -6155, 'wx': -12420, 'wy': -3588}","{'ax': 11906, 'ay': 12226, 'wz': 11538, 'az': 12483, 'wx': 10578, 'wy': 11170}"
59.1,"{'ax': 8175, 'ay': -545, 'wz': 18420, 'az': -262, 'wx': -8236, 'wy': 1964}","{'ax': 7935, 'ay': -611, 'wz': 18380, 'az': -3, 'wx': -8196, 'wy': 1772}","{'ax': 11826, 'ay': 12178, 'wz': 11458, 'az': 12659, 'wx': 10610, 'wy': 11058}"
59.12,"{'ax': 4087, 'ay': -2931, 'wz': 16252, 'az': -2, 'wx': -10168, 'wy': 764}","{'ax': 4023, 'ay': -2163, 'wz': 16204, 'az': -2, 'wx': -10164, 'wy': 508}","{'ax': 11826, 'ay': 12339, 'wz': 11458, 'az': 12627, 'wx': 10578, 'wy': 11026}"
59.14,"{'ax': -2121, 'ay': -10409, 'wz': 24316, 'az': 2047, 'wx': -13340, 'wy': -144}","{'ax': -2466, 'ay': -10271, 'wz': 22512, 'az': 2047, 'wx': -13108, 'wy': -196}","{'ax': 11858, 'ay': 12194, 'wz': 11506, 'az': 12611, 'wx': 10642, 'wy': 11090}"
59.16,"{'ax': -521, 'ay': -1033, 'wz': 13756, 'az': 4050, 'wx': -7216, 'wy': -272}","{'ax': -4, 'ay': -1328, 'wz': 13772, 'az': 3711, 'wx': -6660, 'wy': -68}","{'ax': 11922, 'ay': 12242, 'wz': 11570, 'az': 12483, 'wx': 10466, 'wy': 11202}"
59.18,"{'ax': -265, 'ay': -6693, 'wz': 12776, 'az': 5631, 'wx': -8324, 'wy': -332}","{'ax': -521, 'ay': -6789, 'wz': 12636, 'az': 5631, 'wx': -8580, 'wy': -456}","{'ax': 11794, 'ay': 12371, 'wz': 11442, 'az': 12611, 'wx': 10562, 'wy': 11026}"
59.2,"{'ax': -17, 'ay': -1025, 'wz': 10852, 'az': 3943, 'wx': -10244, 'wy': -1588}","{'ax': -18, 'ay': -1, 'wz': 11228, 'az': 3549, 'wx': -9448, 'wy': -1544}","{'ax': 11794, 'ay': 12291, 'wz': 11442, 'az': 12611, 'wx': 10562, 'wy': 11010}"
59.22,"{'ax': -257, 'ay': 3795, 'wz': 12156, 'az': 1343, 'wx': -8260, 'wy': -52}","{'ax': -353, 'ay': 7887, 'wz': 11124, 'az': 1343, 'wx': -8452, 'wy': -84}","{'ax': 11874, 'ay': 12178, 'wz': 11522, 'az': 12467, 'wx': 10386, 'wy': 11122}"
59.24,"{'ax': -1, 'ay': 7669, 'wz': 13148, 'az': 1022, 'wx': -8560, 'wy': -12}","{'ax': -9, 'ay': 7647, 'wz': 13180, 'az': 1021, 'wx': -8452, 'wy': -60}","{'ax': 11954, 'ay': 12258, 'wz': 11602, 'az': 12483, 'wx': 10482, 'wy': 11042}"
