device,kernel
"{'time': 1243.812, 's2': {'ax': 8.540117, 'ay': -1.233014, 'wz': -0.01838591, 'az': -0.1939303, 'wx': -0.01332313, 'wy': 0.03397397}, 's3': {'ax': 9.074024, 'ay': -1.228225, 'wz': -0.02011792, 'az': -0.3112462, 'wx': -0.01292343, 'wy': 0.02091731}, 's1': {'ax': 23957, 'ay': 24085, 'wz': 24101, 'az': 23829, 'wx': 24165, 'wy': 24245}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -96, 'wy': -180, 'wz': 141, 'ax': 388, 'ay': 48, 'az': 337}"
"{'time': 1243.832, 's2': {'ax': 9.186552, 'ay': -1.314417, 'wz': -0.005995406, 'az': -0.3184288, 'wx': -0.002264931, 'wy': 0.007860644}, 's3': {'ax': 9.143456, 'ay': -1.381454, 'wz': -0.009725882, 'az': -0.3112462, 'wx': -0.0002664625, 'wy': -0.0006661562}, 's1': {'ax': 20164, 'ay': 20132, 'wz': 20356, 'az': 20132, 'wx': 20420, 'wy': 20324}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -96, 'wy': -180, 'wz': 141, 'ax': 388, 'ay': 48, 'az': 337}"
"{'time': 1243.872, 's2': {'ax': 9.19134, 'ay': -1.247379, 'wz': -0.00652833, 'az': -0.3399766, 'wx': 0.07660797, 'wy': 0.007860644}, 's3': {'ax': 9.19134, 'ay': -1.237802, 'wz': -0.005462481, 'az': -0.3184288, 'wx': 0.07700766, 'wy': 0.006261868}, 's1': {'ax': 21317, 'ay': 21461, 'wz': 21637, 'az': 21317, 'wx': 21637, 'wy': 21381}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -96, 'wy': -180, 'wz': 141, 'ax': 388, 'ay': 48, 'az': 337}"
"{'time': 1243.872, 's2': {'ax': 9.19134, 'ay': -1.247379, 'wz': -0.00652833, 'az': -0.3399766, 'wx': 0.07660797, 'wy': 0.007860644}, 's3': {'ax': 9.19134, 'ay': -1.237802, 'wz': -0.005462481, 'az': -0.3184288, 'wx': 0.07700766, 'wy': 0.006261868}, 's1': {'ax': 21317, 'ay': 21461, 'wz': 21637, 'az': 21317, 'wx': 21637, 'wy': 21381}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -96, 'wy': -180, 'wz': 141, 'ax': 388, 'ay': 48, 'az': 337}"
"{'time': 1243.892, 's2': {'ax': 9.19134, 'ay': -1.39582, 'wz': -0.01931853, 'az': -0.3232172, 'wx': 0.07594181, 'wy': -0.001465544}, 's3': {'ax': 9.181764, 'ay': -1.39582, 'wz': -0.01958499, 'az': -0.332794, 'wx': 0.07607504, 'wy': -0.008926495}, 's1': {'ax': 24646, 'ay': 24389, 'wz': 24405, 'az': 24598, 'wx': 24453, 'wy': 24774}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -96, 'wy': -180, 'wz': 141, 'ax': 388, 'ay': 48, 'az': 337}"
"{'time': 1243.912, 's2': {'ax': 8.492233, 'ay': -1.285686, 'wz': -0.01825268, 'az': -0.4740519, 'wx': -0.0006661562, 'wy': -0.005728943}, 's3': {'ax': 8.532935, 'ay': -1.266533, 'wz': -0.01718683, 'az': -0.4668693, 'wx': -0.0001332312, 'wy': -0.004663095}, 's1': {'ax': 24181, 'ay': 24421, 'wz': 24501, 'az': 24229, 'wx': 24421, 'wy': 24261}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -96, 'wy': -180, 'wz': 141, 'ax': 388, 'ay': 48, 'az': 337}"
"{'time': 1243.912, 's2': {'ax': 8.492233, 'ay': -1.285686, 'wz': -0.01825268, 'az': -0.4740519, 'wx': -0.0006661562, 'wy': -0.005728943}, 's3': {'ax': 8.532935, 'ay': -1.266533, 'wz': -0.01718683, 'az': -0.4668693, 'wx': -0.0001332312, 'wy': -0.004663095}, 's1': {'ax': 24181, 'ay': 24421, 'wz': 24501, 'az': 24229, 'wx': 24421, 'wy': 24261}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -96, 'wy': -180, 'wz': 141, 'ax': 388, 'ay': 48, 'az': 337}"
"{'time': 1243.932, 's2': {'ax': 8.561666, 'ay': -1.391031, 'wz': -0.0006661562, 'az': -0.3663129, 'wx': -0.01105819, 'wy': 0.02504747}, 's3': {'ax': 8.561666, 'ay': -1.391031, 'wz': -0.001465544, 'az': -0.3663129, 'wx': -0.01119142, 'wy': 0.02544717}, 's1': {'ax': 20036, 'ay': 20468, 'wz': 20324, 'az': 20020, 'wx': 20196, 'wy': 20388}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -96, 'wy': -180, 'wz': 141, 'ax': 388, 'ay': 48, 'az': 337}"
"{'time': 1243.992, 's2': {'ax': 8.482656, 'ay': -1.237802, 'wz': -0.0007993876, 'az': -0.6153098, 'wx': -0.02105054, 'wy': 0.03397397}, 's3': {'ax': 8.477868, 'ay': -1.403002, 'wz': -0.01239051, 'az': -0.6919243, 'wx': -0.01998469, 'wy': 0.01638744}, 's1': {'ax': 24646, 'ay': 24870, 'wz': 24694, 'az': 24453, 'wx': 24485, 'wy': 24662}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -96, 'wy': -180, 'wz': 141, 'ax': 388, 'ay': 48, 'az': 337}"
"{'time': 1244.012, 's2': {'ax': 8.559271, 'ay': -1.381454, 'wz': -0.01292343, 'az': -0.4668693, 'wx': 0.07234457, 'wy': -0.02224962}, 's3': {'ax': 8.549694, 'ay': -1.335965, 'wz': -0.0001332312, 'az': -0.3471592, 'wx': 0.07434303, 'wy': -0.003330781}, 's1': {'ax': 24517, 'ay': 24149, 'wz': 24213, 'az': 24405, 'wx': 24421, 'wy': 24533}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -96, 'wy': -180, 'wz': 141, 'ax': 388, 'ay': 48, 'az': 337}"
"{'time': 1244.032, 's2': {'ax': 9.344569, 'ay': -1.343147, 'wz': -0.01692037, 'az': -0.3112462, 'wx': -0.01931853, 'wy': 0.006661563}, 's3': {'ax': 9.40203, 'ay': -1.242591, 'wz': -0.01718683, 'az': -0.3495534, 'wx': -0.01838591, 'wy': 0.009459419}, 's1': {'ax': 20276, 'ay': 20084, 'wz': 20196, 'az': 20356, 'wx': 20228, 'wy': 20501}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -96, 'wy': -180, 'wz': 141, 'ax': 388, 'ay': 48, 'az': 337}"
"{'time': 1244.032, 's2': {'ax': 9.344569, 'ay': -1.343147, 'wz': -0.01692037, 'az': -0.3112462, 'wx': -0.01931853, 'wy': 0.006661563}, 's3': {'ax': 9.40203, 'ay': -1.242591, 'wz': -0.01718683, 'az': -0.3495534, 'wx': -0.01838591, 'wy': 0.009459419}, 's1': {'ax': 20276, 'ay': 20084, 'wz': 20196, 'az': 20356, 'wx': 20228, 'wy': 20501}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -96, 'wy': -180, 'wz': 141, 'ax': 388, 'ay': 48, 'az': 337}"
"{'time': 1244.092, 's2': {'ax': 9.085996, 'ay': -1.30484, 'wz': -0.01718683, 'az': -0.3280056, 'wx': -0.004663095, 'wy': 0.01265697}, 's3': {'ax': 9.114726, 'ay': -1.235408, 'wz': -0.02318224, 'az': -0.3471592, 'wx': -0.002797856, 'wy': 0.01252374}, 's1': {'ax': 24533, 'ay': 24341, 'wz': 24485, 'az': 24662, 'wx': 24806, 'wy': 24598}}","{'pitch': 0.0, 'roll': 0.0, 'yaw': 0.0, 'wx': -96, 'wy': -180, 'wz': 141, 'ax': 388, 'ay': 48, 'az': 337}"
