ax,ay,az,gx,gy,gz,time
489,-509,-441,2768,-556,15832,0.001803
535,-516,-452,2888,-576,15840,0.004631
589,-516,-451,2812,-556,15740,0.00735
778,-492,-398,2916,-420,15768,0.020295
772,-438,-403,2968,-436,15824,0.022999
770,-376,-325,2952,-408,16196,0.035902
713,-355,-330,2980,-396,16320,0.038625
680,-389,-337,2972,-356,16260,0.041347
363,-364,-206,2908,-360,16488,0.054282
280,-414,-221,2952,-388,16540,0.057005
37,-657,-258,2732,-480,16436,0.069913
50,-671,-275,2656,-532,16488,0.072637
-14,-796,-285,2640,-540,16544,0.075359
-160,-881,-350,2560,-480,16184,0.08831
-133,-832,-376,2492,-500,16032,0.091047
-90,-711,-496,2752,-480,15788,0.103967
-78,-736,-457,2752,-516,15848,0.106703
-35,-679,-490,2756,-496,15620,0.109445
174,-574,-478,2912,-452,15672,0.122376
189,-606,-480,2920,-416,15640,0.1251
486,-565,-459,2972,-384,15688,0.138047
512,-541,-423,3032,-392,15788,0.140771
536,-523,-446,3040,-372,15656,0.14349
655,-387,-326,2964,-344,15844,0.156427
670,-386,-339,2940,-368,15888,0.15915
642,-233,-368,2704,-380,15984,0.172075
630,-289,-407,2676,-376,16068,0.174799
633,-258,-418,2708,-336,16024,0.177527
465,-489,-470,2732,-240,16360,0.190466
422,-570,-467,2876,-176,16232,0.193189
298,-724,-385,3060,-164,16216,0.206102
323,-740,-353,2992,-180,16020,0.208823
325,-700,-328,2936,-172,16068,0.211553
94,-677,-324,2736,-308,16160,0.224462
70,-688,-327,2856,-272,16240,0.227181
-82,-628,-292,2920,-240,16188,0.24013
-108,-599,-275,2820,-340,16328,0.242875
-135,-597,-288,2868,-356,16264,0.245611
-195,-686,-242,2848,-348,16072,0.258584
-159,-723,-223,2788,-368,16100,0.261321
-54,-810,-335,2708,-392,15808,0.274246
-25,-880,-366,2772,-380,15892,0.276982
-29,-1079,-316,2964,-320,15808,0.289938
13,-1077,-263,2936,-220,15788,0.292677
9,-1089,-270,2968,-260,15732,0.295404
92,-778,-196,2984,-320,15720,0.308308
115,-729,-174,2916,-392,15800,0.31103
131,-510,-208,2540,-592,15728,0.32398
146,-507,-272,2472,-580,15764,0.3267
162,-534,-307,2368,-512,15792,0.329421
138,-658,-505,2436,-364,16000,0.342371
130,-689,-495,2544,-400,16088,0.345093
216,-909,-508,2920,-292,15932,0.357991
220,-913,-479,3028,-292,15792,0.360711
242,-901,-463,3064,-332,15816,0.363434
285,-760,-300,3188,-316,15728,0.376381
243,-737,-282,3244,-288,15704,0.379101
90,-410,-122,3012,-304,15852,0.392003
105,-319,-102,2940,-336,16028,0.394725
49,-284,-82,2880,-368,16016,0.397445
-124,-236,-117,2596,-520,16180,0.410342
-186,-180,-133,2468,-484,16108,0.41308
-203,-324,-286,2192,-456,16124,0.425995
-242,-419,-380,2324,-404,16216,0.428734
-195,-500,-378,2304,-388,16112,0.431473
-159,-742,-465,2604,-360,15832,0.444442
-172,-705,-433,2652,-400,15912,0.44718
16,-652,-449,2936,-256,15624,0.460161
72,-605,-390,3024,-264,15512,0.462892
123,-623,-361,3044,-320,15524,0.465611
361,-365,-193,3040,-284,15588,0.478578
396,-316,-173,3008,-340,15556,0.4813
357,-173,-111,2924,-288,15936,0.494275
350,-124,-103,2868,-312,16024,0.496996
293,-139,-61,2872,-388,16136,0.499717
142,-199,-54,2596,-472,16464,0.512678
86,-248,-92,2532,-444,16492,0.515404
-196,-635,-149,2384,-528,16276,0.528354
-251,-627,-162,2356,-552,16284,0.531092
-246,-710,-199,2344,-416,16052,0.533831
-270,-826,-373,2392,-564,15716,0.54676
-262,-820,-381,2512,-528,15684,0.549501
-156,-822,-400,2780,-432,15388,0.562445
-114,-734,-429,2780,-352,15360,0.565181
150,-562,-429,2936,-456,15628,0.578093
217,-539,-394,2992,-432,15568,0.580815
252,-568,-367,2976,-408,15660,0.583542
397,-437,-285,2924,-488,15920,0.596465
415,-419,-281,2824,-488,15952,0.599186
378,-476,-285,2612,-532,16444,0.612087
314,-521,-304,2672,-444,16560,0.614807
288,-575,-314,2572,-580,16632,0.617537
31,-1011,-393,2612,-436,16624,0.630442
-37,-1074,-380,2640,-460,16540,0.633164
-221,-1240,-422,2824,-396,16324,0.646112
-250,-1250,-441,2864,-448,16192,0.64885
-235,-1179,-398,2864,-480,16108,0.651594
-84,-963,-461,2904,-432,15736,0.664503
-64,-935,-453,2900,-528,15800,0.667241
82,-972,-454,3108,-324,15668,0.680213
109,-975,-449,3156,-312,15852,0.682933
123,-996,-410,3168,-288,15780,0.685656
128,-1076,-278,3056,-296,16220,0.698576
93,-1078,-286,3144,-384,16264,0.701296
-159,-1105,-198,3016,-356,16332,0.714223
-170,-1155,-221,2964,-444,16396,0.716962
-375,-1169,-158,2900,-492,16400,0.729914
-382,-1242,-122,2900,-524,16348,0.732654
-420,-1194,-156,2952,-524,16332,0.735394
-373,-1240,-137,2896,-560,15968,0.748341
-361,-1230,-122,2820,-564,15912,0.75108
-145,-1188,-167,2820,-608,15448,0.764028
-77,-1146,-232,2912,-648,15424,0.766771
-9,-1145,-175,2888,-588,15568,0.769509
122,-1198,-121,3036,-520,15644,0.782425
158,-1258,-121,3108,-464,15844,0.785147
265,-1438,-14,3000,-656,16144,0.798091
240,-1460,-16,2896,-656,16208,0.800815
254,-1986,-108,2704,-648,16380,0.81377
283,-2136,-146,2600,-592,16388,0.81649
290,-2286,-140,2704,-640,16412,0.81921
384,-2784,-259,2832,-624,16116,0.832157
392,-2839,-269,2896,-708,15992,0.834885
432,-2615,-328,3024,-636,15784,0.847803
506,-2654,-339,3120,-616,15696,0.850534
498,-2508,-322,3136,-640,15808,0.853255
704,-2463,-253,3276,-560,15972,0.866186
819,-2534,-256,3264,-644,15912,0.868915
1056,-3011,-210,3332,-632,16336,0.881825
1111,-3208,-215,3412,-552,16404,0.884557
1105,-4162,-115,3712,-356,16812,0.897453
1126,-4341,-49,3676,-368,16780,0.900172
1108,-4582,18,3784,-236,16644,0.9029
1147,-5636,176,3812,-364,16360,0.915784
1122,-5735,234,3768,-388,15976,0.91849
1300,-5905,292,3692,-520,15048,0.931434
1377,-5750,280,3588,-636,14888,0.934137
1418,-5586,274,3544,-728,14676,0.93684
1824,-4522,114,3160,-812,14428,0.949744
1870,-4271,63,3040,-904,14368,0.952448
2161,-3292,-274,3076,-804,14864,0.965335
2116,-3089,-390,3100,-712,15016,0.968058
2030,-2231,-626,3432,-420,15836,0.980957
1927,-2099,-656,3668,-288,16000,0.983678
1839,-2033,-644,3812,-192,16264,0.986404
1246,-1897,-654,4320,16,16936,0.999312
1125,-2037,-574,4344,84,17068,1.002
619,-2356,-350,4564,176,17156,1.014905
528,-2486,-335,4544,148,17024,1.017611
460,-2629,-291,4548,100,17088,1.020315
245,-3138,-120,4288,52,16528,1.033201
248,-3280,-120,4280,-52,16292,1.035912
385,-3792,-102,4268,4,15752,1.048838
396,-3836,-121,4272,16,15556,1.051552
438,-3860,-122,4244,-32,15544,1.054259
597,-3577,-115,4372,-120,15340,1.067157
657,-3458,-126,4320,-248,15128,1.069886
1207,-3618,-221,4424,-168,16080,1.082784
1346,-3968,-238,4548,-144,16472,1.085504
1706,-6381,-87,4988,12,16924,1.098404
1706,-6822,-23,5020,28,16656,1.10111
1728,-7125,12,5092,76,16432,1.103818
1640,-7465,214,5180,192,15280,1.116718
1620,-7325,184,5148,72,15056,1.119408
1602,-6086,223,5176,-260,14556,1.132342
1595,-5768,216,5172,-296,14388,1.135049
1615,-5432,207,5212,-288,14536,1.137756
1547,-4146,217,5072,-264,15080,1.150669
1502,-3862,113,5004,-252,15048,1.153377
1303,-2991,-9,4880,-8,15912,1.166282
1305,-2932,-45,4948,-4,16016,1.169005
1300,-2912,-94,4996,48,16392,1.171727
1115,-3792,-235,5412,52,17868,1.184649
1041,-4103,-242,5516,48,18112,1.187352
620,-5639,-150,6284,448,18588,1.200294
430,-5945,-83,6420,428,18732,1.202998
221,-6316,-34,6604,572,18868,1.2057
-1152,-7646,538,7144,988,18508,1.218608
-1448,-7798,687,7180,1068,18208,1.221315
-2706,-7651,1285,7136,900,16412,1.234251
-2830,-7478,1363,6952,716,15956,1.236957
-3401,-6303,1658,6348,76,14796,1.249839
-3491,-6018,1680,6132,-120,14432,1.252554
-3460,-5763,1670,5952,-236,14108,1.255276
-3264,-4454,1298,5152,-576,13576,1.26822
-3184,-4292,1216,5052,-676,13616,1.270946
-2581,-4159,596,5184,-784,14132,1.283847
-2486,-4271,509,5316,-784,14384,1.286576
-1950,-4843,101,5864,-708,14500,1.299497
-1855,-4975,38,6032,-636,14512,1.30222
-1835,-5138,-18,6164,-560,14564,1.304946
-1538,-5641,-106,6628,-584,14228,1.317913
-1474,-5579,-118,6736,-544,14100,1.320654
-1094,-5289,-81,7124,-608,13588,1.333625
-1037,-5256,-52,7128,-564,13732,1.336365
-671,-5080,7,7084,-700,13552,1.349287
-582,-5052,4,7096,-752,13464,1.351997
-512,-5029,17,7060,-752,13428,1.354718
-123,-4471,-43,6980,-704,13352,1.367637
-48,-4391,-36,7048,-852,13380,1.370376
362,-4002,-103,7020,-952,13544,1.38333
390,-3859,-119,7076,-944,13720,1.38605
416,-3734,-170,7036,-940,13732,1.388773
466,-3504,-359,7140,-804,14268,1.401732
485,-3494,-403,7104,-740,14248,1.404454
383,-3663,-525,7380,-532,14604,1.417395
407,-3702,-500,7352,-452,14420,1.420119
401,-3746,-516,7532,-432,14356,1.42284
516,-4224,-513,7804,-580,14408,1.4358
497,-4348,-506,7856,-548,14500,1.438529
663,-4343,-387,8112,-416,13732,1.451462
645,-4298,-337,8140,-412,13516,1.454182
681,-4220,-325,8160,-376,13424,1.456914
983,-4072,-213,8040,-408,13300,1.469807
1044,-4025,-207,8136,-408,13340,1.472537
1468,-4099,-215,8088,-484,13052,1.485459
1511,-4052,-176,8048,-484,13144,1.488181
1780,-3474,-173,8164,-436,12720,1.501075
1817,-3281,-199,8208,-452,12688,1.503804
1823,-3042,-162,8208,-420,12516,1.506534
1913,-1794,-80,8396,-500,13216,1.519448
1933,-1569,-76,8352,-384,13476,1.52217
1783,-1079,-59,8216,-412,14232,1.535087
1712,-1043,-67,8244,-304,14484,1.537808
1201,-1145,-61,8328,-80,15004,1.550725
1091,-1244,-25,8228,-88,15004,1.553445
958,-1254,-10,8328,-136,14884,1.556167
444,-1433,-18,8132,-288,14680,1.569095
399,-1446,-24,7968,-300,14468,1.571818
441,-1699,-192,7848,-576,14024,1.584719
473,-1741,-247,7924,-624,13996,1.587442
516,-1803,-286,7908,-652,13948,1.590164
594,-1646,-526,8016,-364,13368,1.603108
