time,MRU1,MRU2
0.003654,"{'ax': -6200, 'ay': -2392, 'az': 18076, 'gx': -2801, 'gy': 524, 'gz': 12392}","{'ax': 0.225586, 'ay': 0.15625, 'az': -1.037598, 'gx': 18.79883, 'gy': -10.49805, 'gz': -95.64209}"
0.020094,"{'ax': -7180, 'ay': -2368, 'az': 17100, 'gx': -4954, 'gy': 2617, 'gz': 9622}","{'ax': 0.244141, 'ay': 0.155762, 'az': -1.069824, 'gx': 34.36279, 'gy': -24.84131, 'gz': -75.31738}"
0.036285,"{'ax': -5796, 'ay': -1260, 'az': 17916, 'gx': -6210, 'gy': 403, 'gz': 7348}","{'ax': 0.193848, 'ay': 0.054688, 'az': -1.069336, 'gx': 44.55566, 'gy': -6.286621, 'gz': -59.75342}"
0.052523,"{'ax': -4044, 'ay': 924, 'az': 15000, 'gx': -7025, 'gy': 659, 'gz': 6196}","{'ax': 0.15625, 'ay': -0.055664, 'az': -0.976074, 'gx': 49.56055, 'gy': -11.23047, 'gz': -52.6123}"
0.068771,"{'ax': -2924, 'ay': 700, 'az': 13148, 'gx': -6079, 'gy': 1884, 'gz': 5546}","{'ax': 0.106934, 'ay': -0.043945, 'az': -0.953613, 'gx': 40.34424, 'gy': -19.40918, 'gz': -48.33984}"
0.08498,"{'ax': -2724, 'ay': 332, 'az': 14228, 'gx': -4825, 'gy': 713, 'gz': 5757}","{'ax': 0.11377, 'ay': -0.00293, 'az': -0.974121, 'gx': 32.04346, 'gy': -6.713867, 'gz': -48.82813}"
0.10116,"{'ax': -3384, 'ay': -1032, 'az': 13060, 'gx': -3249, 'gy': -1269, 'gz': 5301}","{'ax': 0.115234, 'ay': 0.064941, 'az': -0.972656, 'gx': 17.8833, 'gy': 6.835938, 'gz': -43.15186}"
0.117334,"{'ax': -4132, 'ay': -1684, 'az': 12780, 'gx': -766, 'gy': -2945, 'gz': 4177}","{'ax': 0.119141, 'ay': 0.105469, 'az': -0.972168, 'gx': -0.366211, 'gy': 20.87402, 'gz': -31.92139}"
0.133604,"{'ax': -3464, 'ay': -988, 'az': 12448, 'gx': 1356, 'gy': -5326, 'gz': 2922}","{'ax': 0.098145, 'ay': 0.058594, 'az': -0.907227, 'gx': -15.99121, 'gy': 36.74316, 'gz': -21.66748}"
0.149843,"{'ax': -2840, 'ay': -1656, 'az': 11852, 'gx': 2626, 'gy': -4246, 'gz': 1676}","{'ax': 0.040527, 'ay': 0.111816, 'az': -0.791992, 'gx': -21.30127, 'gy': 21.72852, 'gz': -10.55908}"
0.166069,"{'ax': -2828, 'ay': -2556, 'az': 13080, 'gx': 1559, 'gy': 697, 'gz': -100}","{'ax': 0.074707, 'ay': 0.146973, 'az': -0.818848, 'gx': -11.16943, 'gy': -16.96777, 'gz': 0.061035}"
0.182291,"{'ax': -1608, 'ay': -1968, 'az': 14328, 'gx': 257, 'gy': 4001, 'gz': -400}","{'ax': 0.071777, 'ay': 0.098145, 'az': -0.905273, 'gx': -1.953125, 'gy': -39.61182, 'gz': -0.915527}"
0.198545,"{'ax': -1028, 'ay': -1060, 'az': 15356, 'gx': -434, 'gy': 5293, 'gz': 837}","{'ax': 0.070313, 'ay': 0.056641, 'az': -0.973633, 'gx': 2.258301, 'gy': -45.10498, 'gz': -11.90186}"
0.214791,"{'ax': -1928, 'ay': -1448, 'az': 15152, 'gx': -772, 'gy': 4738, 'gz': 1587}","{'ax': 0.069824, 'ay': 0.082031, 'az': -1.006348, 'gx': 3.90625, 'gy': -40.34424, 'gz': -15.74707}"
0.230997,"{'ax': -2776, 'ay': -244, 'az': 15888, 'gx': -590, 'gy': 2701, 'gz': 1533}","{'ax': 0.123047, 'ay': 0.004395, 'az': -1.043945, 'gx': 2.624512, 'gy': -21.48438, 'gz': -15.13672}"
