device,kernel
"{'time': 169.197, 's2': {'ax': -6.91206, 'ay': -3.742137, 'wz': 0.06541655, 'az': 5.207389, 'wx': -0.07367688, 'wy': -0.005196018}, 's3': {'ax': -6.95755, 'ay': -3.679888, 'wz': 0.1052527, 'az': 9.801862, 'wx': -0.06834763, 'wy': -0.06355131}, 's1': {'ax': 18356, 'ay': 18180, 'wz': 18820, 'az': 17844, 'wx': 19876, 'wy': 19316}}","{'pitch': 1.18, 'roll': 219.3, 'yaw': 0.58, 'wx': 13057, 'wy': 40, 'wz': 0, 'ax': 0, 'ay': 0, 'az': -764}"
"{'time': 169.217, 's2': {'ax': -7.060501, 'ay': -3.933673, 'wz': 0.1362956, 'az': 5.511452, 'wx': -0.0006661562, 'wy': 0.09566003}, 's3': {'ax': -7.070077, 'ay': -3.94325, 'wz': 0.1297672, 'az': 5.492299, 'wx': -0.0001332312, 'wy': 0.08939817}, 's1': {'ax': 18468, 'ay': 18052, 'wz': 18932, 'az': 17684, 'wx': 19828, 'wy': 19460}}","{'pitch': 1.18, 'roll': 219.3, 'yaw': 0.58, 'wx': 13057, 'wy': 40, 'wz': 0, 'ax': 0, 'ay': 0, 'az': -764}"
"{'time': 169.237, 's2': {'ax': -4.908113, 'ay': -3.679888, 'wz': -0.004796324, 'az': 6.117185, 'wx': -0.01185758, 'wy': 0.1704028}, 's3': {'ax': -7.211336, 'ay': -3.756502, 'wz': -0.001332312, 'az': 6.107608, 'wx': -0.002398162, 'wy': 0.1991807}, 's1': {'ax': 18340, 'ay': 18180, 'wz': 18804, 'az': 17828, 'wx': 19876, 'wy': 19316}}","{'pitch': 1.18, 'roll': 219.3, 'yaw': 0.58, 'wx': 13057, 'wy': 40, 'wz': 0, 'ax': 0, 'ay': 0, 'az': -764}"
"{'time': 169.257, 's2': {'ax': -7.208941, 'ay': -3.938462, 'wz': -0.0006661562, 'az': 6.126762, 'wx': -0.06155283, 'wy': 0.1019219}, 's3': {'ax': -7.206547, 'ay': -3.909731, 'wz': -0.0006661562, 'az': 6.126762, 'wx': -0.06421745, 'wy': 0.09326187}, 's1': {'ax': 18468, 'ay': 18052, 'wz': 18948, 'az': 17684, 'wx': 19764, 'wy': 19396}}","{'pitch': 1.18, 'roll': 219.3, 'yaw': 0.58, 'wx': 13057, 'wy': 40, 'wz': 0, 'ax': 0, 'ay': 0, 'az': -764}"
"{'time': 169.277, 's2': {'ax': -7.252037, 'ay': -3.737349, 'wz': -0.01785299, 'az': 5.89213, 'wx': -0.01425574, 'wy': -0.02584686}, 's3': {'ax': -7.247249, 'ay': -3.699042, 'wz': -0.01811945, 'az': 5.513846, 'wx': -0.01425574, 'wy': -0.02571363}, 's1': {'ax': 18468, 'ay': 18052, 'wz': 18932, 'az': 17684, 'wx': 19748, 'wy': 19428}}","{'pitch': 1.18, 'roll': 219.3, 'yaw': 0.58, 'wx': 13057, 'wy': 40, 'wz': 0, 'ax': 0, 'ay': 0, 'az': -764}"
"{'time': 169.297, 's2': {'ax': -7.091625, 'ay': -3.689465, 'wz': 0.05955436, 'az': 5.501875, 'wx': -0.05142726, 'wy': 0.05515773}, 's3': {'ax': -7.058106, 'ay': -3.679888, 'wz': 0.06328485, 'az': 5.422867, 'wx': -0.05142726, 'wy': 0.05795559}, 's1': {'ax': 18468, 'ay': 18036, 'wz': 18916, 'az': 17668, 'wx': 19780, 'wy': 19444}}","{'pitch': 1.18, 'roll': 219.3, 'yaw': 0.58, 'wx': 13057, 'wy': 40, 'wz': 0, 'ax': 0, 'ay': 0, 'az': -764}"
"{'time': 169.297, 's2': {'ax': -7.091625, 'ay': -3.689465, 'wz': 0.05955436, 'az': 5.501875, 'wx': -0.05142726, 'wy': 0.05515773}, 's3': {'ax': -7.058106, 'ay': -3.679888, 'wz': 0.06328485, 'az': 5.422867, 'wx': -0.05142726, 'wy': 0.05795559}, 's1': {'ax': 18468, 'ay': 18036, 'wz': 18916, 'az': 17668, 'wx': 19780, 'wy': 19444}}","{'pitch': 1.18, 'roll': 219.3, 'yaw': 0.58, 'wx': 13057, 'wy': 40, 'wz': 0, 'ax': 0, 'ay': 0, 'az': -764}"
"{'time': 169.317, 's2': {'ax': -7.295133, 'ay': -3.758897, 'wz': 0.119242, 'az': 5.722142, 'wx': -0.03424043, 'wy': 0.1019219}, 's3': {'ax': -7.295133, 'ay': -3.720589, 'wz': 0.119242, 'az': 6.126762, 'wx': -0.03437366, 'wy': 0.1021884}, 's1': {'ax': 18404, 'ay': 17972, 'wz': 18852, 'az': 17828, 'wx': 19940, 'wy': 19364}}","{'pitch': 1.18, 'roll': 219.3, 'yaw': 0.58, 'wx': 13057, 'wy': 40, 'wz': 0, 'ax': 0, 'ay': 0, 'az': -764}"
"{'time': 169.337, 's2': {'ax': -5.049371, 'ay': -3.756502, 'wz': 0.06781471, 'az': 6.119579, 'wx': -0.05355896, 'wy': -0.004396631}, 's3': {'ax': -7.376535, 'ay': -3.758897, 'wz': 0.06794793, 'az': 6.124368, 'wx': -0.05982082, 'wy': -0.0003996938}, 's1': {'ax': 18500, 'ay': 18084, 'wz': 18996, 'az': 17700, 'wx': 19780, 'wy': 19220}}","{'pitch': 1.18, 'roll': 219.3, 'yaw': 0.58, 'wx': 13057, 'wy': 40, 'wz': 0, 'ax': 0, 'ay': 0, 'az': -764}"
"{'time': 169.357, 's2': {'ax': -4.910508, 'ay': -3.737349, 'wz': 0.0575559, 'az': 5.513846, 'wx': -0.05222664, 'wy': -0.03424043}, 's3': {'ax': -4.924873, 'ay': -3.682282, 'wz': 0.05742266, 'az': 5.509058, 'wx': -0.05156049, 'wy': -0.0003996938}, 's1': {'ax': 18324, 'ay': 18180, 'wz': 18756, 'az': 17796, 'wx': 19860, 'wy': 19284}}","{'pitch': 1.18, 'roll': 219.3, 'yaw': 0.58, 'wx': 13057, 'wy': 40, 'wz': 0, 'ax': 0, 'ay': 0, 'az': -764}"
"{'time': 169.357, 's2': {'ax': -4.910508, 'ay': -3.737349, 'wz': 0.0575559, 'az': 5.513846, 'wx': -0.05222664, 'wy': -0.03424043}, 's3': {'ax': -4.924873, 'ay': -3.682282, 'wz': 0.05742266, 'az': 5.509058, 'wx': -0.05156049, 'wy': -0.0003996938}, 's1': {'ax': 18324, 'ay': 18180, 'wz': 18756, 'az': 17796, 'wx': 19860, 'wy': 19284}}","{'pitch': 1.18, 'roll': 219.3, 'yaw': 0.58, 'wx': 13057, 'wy': 40, 'wz': 0, 'ax': 0, 'ay': 0, 'az': -764}"
"{'time': 169.457, 's2': {'ax': -7.433996, 'ay': -3.871424, 'wz': 0.03384073, 'az': 6.050148, 'wx': -0.0001332312, 'wy': 0.06674885}, 's3': {'ax': -7.36217, 'ay': -3.919308, 'wz': 0.03264165, 'az': 5.973533, 'wx': -0.009592649, 'wy': 0.06275192}, 's1': {'ax': 18372, 'ay': 17988, 'wz': 18836, 'az': 17620, 'wx': 19732, 'wy': 19364}}","{'pitch': 1.18, 'roll': 219.3, 'yaw': 0.58, 'wx': 13057, 'wy': 40, 'wz': 0, 'ax': 0, 'ay': 0, 'az': -764}"
"{'time': 169.517, 's2': {'ax': -7.299921, 'ay': -3.837905, 'wz': -0.03543951, 'az': 5.973533, 'wx': -0.01212404, 'wy': 0.083536}, 's3': {'ax': -7.299921, 'ay': -3.833117, 'wz': -0.02544717, 'az': 6.050148, 'wx': -0.01292343, 'wy': 0.08087137}, 's1': {'ax': 18356, 'ay': 17988, 'wz': 18820, 'az': 17860, 'wx': 19924, 'wy': 19316}}","{'pitch': 1.18, 'roll': 219.3, 'yaw': 0.58, 'wx': 13057, 'wy': 40, 'wz': 0, 'ax': 0, 'ay': 0, 'az': -764}"
"{'time': 169.537, 's2': {'ax': -7.366959, 'ay': -2.779668, 'wz': -0.01212404, 'az': 6.126762, 'wx': -0.04276723, 'wy': -0.02051761}, 's3': {'ax': -4.915296, 'ay': -3.775656, 'wz': -0.01212404, 'az': 6.107608, 'wx': -0.04276723, 'wy': -0.004396631}, 's1': {'ax': 18340, 'ay': 17940, 'wz': 18772, 'az': 17844, 'wx': 19844, 'wy': 19268}}","{'pitch': 1.18, 'roll': 219.3, 'yaw': 0.58, 'wx': 13057, 'wy': 40, 'wz': 0, 'ax': 0, 'ay': 0, 'az': -764}"
"{'time': 169.557, 's2': {'ax': -7.089231, 'ay': -3.754108, 'wz': -0.02091731, 'az': 5.494693, 'wx': -0.001465544, 'wy': -0.09845789}, 's3': {'ax': -7.050924, 'ay': -3.782839, 'wz': -0.01825268, 'az': 5.475539, 'wx': -0.0002664625, 'wy': -0.08873201}, 's1': {'ax': 18548, 'ay': 18116, 'wz': 18724, 'az': 17748, 'wx': 19764, 'wy': 19204}}","{'pitch': 1.18, 'roll': 219.3, 'yaw': 0.58, 'wx': 13057, 'wy': 40, 'wz': 0, 'ax': 0, 'ay': 0, 'az': -764}"
"{'time': 169.557, 's2': {'ax': -7.089231, 'ay': -3.754108, 'wz': -0.02091731, 'az': 5.494693, 'wx': -0.001465544, 'wy': -0.09845789}, 's3': {'ax': -7.050924, 'ay': -3.782839, 'wz': -0.01825268, 'az': 5.475539, 'wx': -0.0002664625, 'wy': -0.08873201}, 's1': {'ax': 18548, 'ay': 18116, 'wz': 18724, 'az': 17748, 'wx': 19764, 'wy': 19204}}","{'pitch': 1.18, 'roll': 219.3, 'yaw': 0.58, 'wx': 13057, 'wy': 40, 'wz': 0, 'ax': 0, 'ay': 0, 'az': -764}"
