time,s2,s1
80.333,"{'ax': 2.099715, 'ay': -1.266533, 'wz': -0.9749863, 'az': 12.10269, 'wx': -0.3422711, 'wy': -0.399294}","{'ax': 2.099715, 'ay': -1.266533, 'wz': -0.957533, 'az': 12.10269, 'wx': -0.3635881, 'wy': -0.273657}"
80.353,"{'ax': 2.37026, 'ay': -0.04070143, 'wz': -1.142724, 'az': 12.1793, 'wx': -0.5470475, 'wy': 0.1123139}","{'ax': 2.449268, 'ay': -0.08858546, 'wz': -1.149119, 'az': 12.05241, 'wx': -0.5479801, 'wy': 0.08513475}"
80.513,"{'ax': 3.354277, 'ay': 1.108515, 'wz': -0.136562, 'az': 14.63097, 'wx': -0.01292343, 'wy': -0.8229693}","{'ax': 3.356671, 'ay': 1.175553, 'wz': -0.1621424, 'az': 12.38042, 'wx': -0.03850383, 'wy': -0.8229693}"
80.533,"{'ax': 2.293645, 'ay': 1.527501, 'wz': 0.09792496, 'az': 9.631873, 'wx': -0.4118177, 'wy': -1.23945}","{'ax': 2.382231, 'ay': 1.510741, 'wz': 0.08486831, 'az': 9.651027, 'wx': -0.4126172, 'wy': -1.235453}"
80.553,"{'ax': 3.193865, 'ay': 1.810017, 'wz': 0.492023, 'az': 12.25113, 'wx': -0.04063553, 'wy': -1.094495}","{'ax': 3.672705, 'ay': 2.245761, 'wz': 0.4901577, 'az': 12.25113, 'wx': -0.04543185, 'wy': -1.113147}"
80.573,"{'ax': 3.569755, 'ay': -0.1556231, 'wz': 0.332412, 'az': 11.0253, 'wx': 0.2215636, 'wy': -2.251342}","{'ax': 3.646369, 'ay': -0.08858546, 'wz': 0.3404058, 'az': 10.94868, 'wx': 0.1341639, 'wy': -2.252408}"
80.593,"{'ax': 4.125209, 'ay': -3.679888, 'wz': -0.01745329, 'az': 9.028535, 'wx': 0.5445161, 'wy': -2.287847}","{'ax': 4.134786, 'ay': -3.986346, 'wz': -0.03224196, 'az': 9.181764, 'wx': 0.5335912, 'wy': -2.218167}"
80.613,"{'ax': 2.446874, 'ay': -0.01436521, 'wz': -0.3241516, 'az': 8.959103, 'wx': 0.8168407, 'wy': -1.7829}","{'ax': 2.44448, 'ay': -1.30484, 'wz': -0.3039005, 'az': 8.956709, 'wx': 0.8177733, 'wy': -1.799821}"
80.633,"{'ax': 3.057395, 'ay': 0.9169792, 'wz': -0.591147, 'az': 9.780313, 'wx': 0.9825804, 'wy': -2.256804}","{'ax': 4.862624, 'ay': 0.9074024, 'wz': -0.5799556, 'az': 19.2829, 'wx': 0.980049, 'wy': -2.191521}"
80.653,"{'ax': 4.718972, 'ay': 1.199495, 'wz': -0.5828867, 'az': 9.636662, 'wx': 0.5603705, 'wy': -2.508078}","{'ax': 4.786009, 'ay': 2.37026, 'wz': -0.5469142, 'az': 18.22706, 'wx': 0.6083338, 'wy': -2.524599}"
80.673,"{'ax': 5.509058, 'ay': 2.410961, 'wz': -0.157879, 'az': 9.765948, 'wx': -0.007594181, 'wy': -0.005196018}","{'ax': 5.204995, 'ay': 2.296039, 'wz': -0.141758, 'az': 9.797073, 'wx': -0.005462481, 'wy': -0.01851914}"
80.693,"{'ax': 7.237672, 'ay': 1.462857, 'wz': 0.03384073, 'az': 9.804255, 'wx': 0.1276355, 'wy': -1.845253}","{'ax': 6.739678, 'ay': 1.482011, 'wz': 0.03397397, 'az': 9.651027, 'wx': 0.1277688, 'wy': -1.844187}"
80.713,"{'ax': 7.024588, 'ay': 0.5865794, 'wz': 0.2212971, 'az': 7.57286, 'wx': 0.5049464, 'wy': -1.510975}","{'ax': 7.043741, 'ay': 0.5865794, 'wz': 0.2141026, 'az': 7.659051, 'wx': 0.4938882, 'wy': -1.501383}"
80.733,"{'ax': 6.040571, 'ay': 0.248997, 'wz': 0.268461, 'az': 8.499416, 'wx': 0.8184396, 'wy': -1.279153}","{'ax': 5.98311, 'ay': 0.2561796, 'wz': 0.2727244, 'az': 8.50181, 'wx': 0.8088469, 'wy': -1.280219}"
80.753,"{'ax': 7.343017, 'ay': -0.617704, 'wz': 1.067315, 'az': 7.343017, 'wx': 1.085968, 'wy': -0.2752557}","{'ax': 7.343017, 'ay': -0.617704, 'wz': 0.5253308, 'az': 7.352593, 'wx': 1.085968, 'wy': -0.4116846}"
80.773,"{'ax': 7.33344, 'ay': -0.7805098, 'wz': 1.084369, 'az': 9.765948, 'wx': -0.5501118, 'wy': 0.9375483}","{'ax': 6.861782, 'ay': -0.926556, 'wz': 1.050662, 'az': 9.19134, 'wx': -0.004396631, 'wy': 1.091164}"
80.793,"{'ax': 5.580884, 'ay': -0.1747767, 'wz': 1.490591, 'az': 19.49599, 'wx': -2.545516, 'wy': 3.337443}","{'ax': 5.664681, 'ay': -0.002394202, 'wz': 1.48353, 'az': 19.60133, 'wx': -2.500217, 'wy': 4.308832}"
80.813,"{'ax': 4.896142, 'ay': 0.4908113, 'wz': 1.432369, 'az': 9.114726, 'wx': -2.217234, 'wy': 3.797357}","{'ax': 4.876989, 'ay': 0.5674258, 'wz': 1.433968, 'az': 9.107543, 'wx': -2.232023, 'wy': 4.365588}"
80.833,"{'ax': 3.651158, 'ay': -0.1747767, 'wz': 1.088099, 'az': 9.799467, 'wx': -2.183527, 'wy': 2.548314}","{'ax': 3.651158, 'ay': -0.1843535, 'wz': 1.088099, 'az': 9.665392, 'wx': -2.221631, 'wy': 2.530195}"
80.853,"{'ax': 2.449268, 'ay': -1.343147, 'wz': 0.4944212, 'az': 9.07163, 'wx': -0.04303369, 'wy': 0.8021852}","{'ax': 2.434903, 'ay': -1.266533, 'wz': 0.5282619, 'az': 8.995016, 'wx': -0.1141792, 'wy': 1.080106}"
